chain,system,run1,run2,run3,mean,SEM
chainC-chainD,WT,6,6,8,6.67,0.67
chainC-chainD,H2AR29Q,9,7,10,8.67,0.88
chainC-chainD,H2AE56K,6,7,7,6.67,0.33
chainC-chainD,H2BF70L,8,5,9,7.33,1.2
chainA-chainB,WT,13,14,13,13.33,0.33
chainA-chainB,H3E50K,11,13,11,11.67,0.67
chainA-chainB,H3E73K,9,11,12,10.67,0.88
chainA-chainB,H3E105K,12,12,9,11,1
chainA-DNA,WT,12,17,16,15,1.53
chainA-DNA,H3E50K,15,12,14,13.67,0.88
chainC-DNA,WT,7,7,7,7,0
chainC-DNA,H2AR29Q,6,7,7,6.67,0.33
chainC-DNA,H2AK74N,7,7,7,7,0
